ドリップ コーヒー Short,13,350,,,
ダーク モカ チップ フラペチーノ® Venti,341,680, +コーヒー少なめ +コーヒー多め(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +ホイップなし +チョコレートソース +ダークモカパウダー多め
キャラメル フラペチーノ® Short,271,535, +コーヒー少なめ +コーヒー多め(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートチップ(￥55) +シナモンパウダー +ハチミツ
キャラメル フラペチーノ® Tall,271,575, +コーヒー少なめ +コーヒー多め(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートチップ(￥55) +シナモンパウダー +ハチミツ
キャラメル フラペチーノ® Grande,271,620, +コーヒー少なめ +コーヒー多め(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートチップ(￥55) +シナモンパウダー +ハチミツ
キャラメル フラペチーノ® Venti,302,665, +コーヒー少なめ +コーヒー多め(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートチップ(￥55) +シナモンパウダー +ハチミツ
抹茶 クリーム フラペチーノ® Short,293,550, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートチップ(￥55) +チョコレートソース +ホイップなし +チョコレートチップ (￥55),
抹茶 クリーム フラペチーノ® Tall,293,590, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートチップ(￥55) +チョコレートソース +ホイップなし +チョコレートチップ (￥55),
抹茶 クリーム フラペチーノ® Grande,293,635, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートチップ(￥55) +チョコレートソース +ホイップなし +チョコレートチップ (￥55),
抹茶 クリーム フラペチーノ® Venti,322,680, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートチップ(￥55) +チョコレートソース +ホイップなし +チョコレートチップ (￥55),
バニラ クリーム フラペチーノ® Short,227,535, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートチップ(￥55) +ホワイトモカフレーバーシロップ(￥55),
バニラ クリーム フラペチーノ® Tall,227,575, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートチップ(￥55) +ホワイトモカフレーバーシロップ(￥55),
バニラ クリーム フラペチーノ® Grande,227,620, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートチップ(￥55) +ホワイトモカフレーバーシロップ(￥55),
バニラ クリーム フラペチーノ® Venti,227,665, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートチップ(￥55) +ホワイトモカフレーバーシロップ(￥55),
マンゴー パッション ティー フラペチーノ® Short,112,535, +シトラス果肉(￥110) +ホイップクリーム(￥55) +ホイップクリーム(￥55)+ノンティー +シトラス果肉 (￥110)+ホイップクリーム (￥55),,
マンゴー パッション ティー フラペチーノ® Tall,112,575, +シトラス果肉(￥110) +ホイップクリーム(￥55) +ホイップクリーム(￥55)+ノンティー +シトラス果肉 (￥110)+ホイップクリーム (￥55),,
マンゴー パッション ティー フラペチーノ® Grande,112,620, +シトラス果肉(￥110) +ホイップクリーム(￥55) +ホイップクリーム(￥55)+ノンティー +シトラス果肉 (￥110)+ホイップクリーム (￥55),,
マンゴー パッション ティー フラペチーノ® Venti,112,665, +シトラス果肉(￥110) +ホイップクリーム(￥55) +ホイップクリーム(￥55)+ノンティー +シトラス果肉 (￥110)+ホイップクリーム (￥55),,
おさつ バター フラペチーノ®,369,535,,,
ゆず シトラス & ティー Short,119,470,,,
ゆず シトラス & ティー Tall,119,510,,,
ゆず シトラス & ティー Grande,119,555,,,
ゆず シトラス & ティー Venti,119,600,,,
チャイ ティー ラテ Short,149,460, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +フォームミルク多め,
チャイ ティー ラテ Tall,149,500, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +フォームミルク多め,
チャイ ティー ラテ Grande,149,545, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +フォームミルク多め,
チャイ ティー ラテ Venti,149,590, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +フォームミルク多め,
ほうじ茶 ティー ラテ Short,104,460,,,
ほうじ茶 ティー ラテ Tall,104,500,,,
ほうじ茶 ティー ラテ Grande,104,545,,,
ほうじ茶 ティー ラテ Venti,162,590,,,
抹茶 ティー ラテ Short,168,460, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +ホワイトモカフレーバーシロップ(￥55) +ホイップクリーム(￥55) +チョコレートソース +エスプレッソショット(￥55),
抹茶 ティー ラテ Tall,168,500, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +ホワイトモカフレーバーシロップ(￥55) +ホイップクリーム(￥55) +チョコレートソース +エスプレッソショット(￥55),
抹茶 ティー ラテ Grande,225,545, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +ホワイトモカフレーバーシロップ(￥55) +ホイップクリーム(￥55) +チョコレートソース +エスプレッソショット(￥55),
抹茶 ティー ラテ Venti,225,590, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +ホワイトモカフレーバーシロップ(￥55) +ホイップクリーム(￥55) +チョコレートソース +エスプレッソショット(￥55),
イングリッシュ ブレックファスト ティー ラテ Short,126,460, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +フォームミルク多め+ハチミツ +ホワイトモカフレーバーシロップに変更,
イングリッシュ ブレックファスト ティー ラテ Tall,126,500, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +フォームミルク多め+ハチミツ +ホワイトモカフレーバーシロップに変更,
イングリッシュ ブレックファスト ティー ラテ Grande,126,545, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +フォームミルク多め+ハチミツ +ホワイトモカフレーバーシロップに変更,
イングリッシュ ブレックファスト ティー ラテ Venti,184,590, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +フォームミルク多め+ハチミツ +ホワイトモカフレーバーシロップに変更,
カモミール ティー ラテ Short,121,460, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),,
カモミール ティー ラテ Tall,121,500, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),,
カモミール ティー ラテ Grande,121,545, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),,
カモミール ティー ラテ Venti,121,590, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),,
アール グレイ ティー ラテ Short,123,460, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +フォームミルク多め,
アール グレイ ティー ラテ Tall,123,500, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +フォームミルク多め,
アール グレイ ティー ラテ Grande,123,545, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +フォームミルク多め,
アール グレイ ティー ラテ Venti,180,590, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +フォームミルク多め,
ゼンクラウド ウーロン ティー ラテ Short,123,460, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +ホワイトモカフレーバーシロップ(￥55) +キャラメルフレーバーシロップに変更,
ゼンクラウド ウーロン ティー ラテ Tall,123,500, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +ホワイトモカフレーバーシロップ(￥55) +キャラメルフレーバーシロップに変更,
ゼンクラウド ウーロン ティー ラテ Grande,123,545, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +ホワイトモカフレーバーシロップ(￥55) +キャラメルフレーバーシロップに変更,
ゼンクラウド ウーロン ティー ラテ Venti,123,590, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +ホワイトモカフレーバーシロップ(￥55) +キャラメルフレーバーシロップに変更,
アイスティー(ブラック) Short,3,420,,,
アイスティー(ブラック) Tall,3,460,,,
アイスティー(ブラック) Grande,3,506,,,
アイスティー(ブラック) Venti,4,550,,,
アイスティー(パッション) Short,3,420, +バニラフレーバーシロップ(￥55),,
アイスティー(パッション) Tall,3,460, +バニラフレーバーシロップ(￥55),,
アイスティー(パッション) Grande,3,506, +バニラフレーバーシロップ(￥55),,
アイスティー(パッション) Venti,4,550, +バニラフレーバーシロップ(￥55),,
イングリッシュ ブレックファスト Short,5,460,,,
イングリッシュ ブレックファスト Tall,5,460,,,
イングリッシュ ブレックファスト Grande,5,506,,,
イングリッシュ ブレックファスト Venti,5,550,,,
アール グレイ Short,2,460,,,
アール グレイ Tall,2,460,,,
アール グレイ Grande,2,506,,,
アール グレイ Venti,2,550,,,
カモミール Short,0,460,,,
カモミール Tall,0,460,,,
カモミール Grande,0,506,,,
カモミール Venti,0,550,,,
ユースベリー® Short,5,460,,,
ユースベリー® Tall,5,460,,,
ユースベリー® Grande,5,506,,,
ユースベリー® Venti,5,550,,,
ほうじ茶 Short,3,460,,,
ほうじ茶 Tall,3,460,,,
ほうじ茶 Grande,3,506,,,
ほうじ茶 Venti,3,550,,,
ゼンクラウド ウーロン Short,1,460,,,
ゼンクラウド ウーロン Tall,1,460,,,
ゼンクラウド ウーロン Grande,1,506,,,
ゼンクラウド ウーロン Venti,1,550,,,
ココア Short,284,455, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートソース,
ココア Tall,284,495, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートソース,
ココア Grande,284,540, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートソース,
ココア Venti,284,585, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +チョコレートソース,
キャラメル クリーム Short,244,455, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +ホワイトモカフレーバーシロップ(￥55) +フォームミルク多め+ハチミツ,
キャラメル クリーム Tall,244,495, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +ホワイトモカフレーバーシロップ(￥55) +フォームミルク多め+ハチミツ,
キャラメル クリーム Grande,244,540, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +ホワイトモカフレーバーシロップ(￥55) +フォームミルク多め+ハチミツ,
キャラメル クリーム Venti,244,585, +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55) , +ホワイトモカフレーバーシロップ(￥55) +フォームミルク多め+ハチミツ,
ミルク Short,162,396,,,
ミルク Tall,162,435,,,
ミルク Grande,162,480,,,
ミルク Venti,236,525,,,
キッズ ココア,284,396,,,
キッズ ミルク,162,396,,,
be juicy ! kids （アップル）,105,396,,,
be juicy ! kids （オレンジ）,88,396,,,
バニラ クリーム,341,396,,,
ホット チョコレート,366,396,,,